#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	% narcotics	peer % narcotics	Most-prescribed medicare drugs
$1095478.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962567792 >DAVID MANNING </A>	Orthopaedic Surgery	<span style=color:black>361 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	42.3	( peers 55.8)	
$785890.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1164489480 >JASON GARBER </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			ORBACTIV;CLEVIPREX;KENGREAL;GELFILM;THROMBIN
$785694.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1780749515 >JAISHANKAR RAMAN </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$721005.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1619030137 >DOUGLAS HOGARTH </A>	Pulmonary Disease	<span style=color:black>738 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			PROLASTIN-C;SPIRIVA;ZEMAIRA;XOLAIR;STIOLTO
$687462.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639235880 >SEENU HARIPRASAD </A>	Ophthalmology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			EYLEA;OZURDEX;DUREZOL;LUCENTIS;TRIESENCE
$595682.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932142833 >ADIL JAVED </A>	Neurology	<span style=color:black>2319 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	21.7	( peers 6.9)	GILENYA;AUBAGIO;COPAXONE;LEMTRADA;BETASERON
$500166.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1578520532 >WILLIAM SMITH </A>	Neurological Surgery	<span style=color:black>376 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			BUTRANS;HYSINGLA ER;EVICEL;KCENTRA;GELFILM
$371398.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1821021619 >GEORGE BAKRIS </A>	Hypertension Specialist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			INVOKANA;BENICAR;OTHER;JANUVIA;NORVASC
$350485.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1033138557 >ATMAN SHAH </A>	Interventional Cardiology	<span style=color:black>582 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			BRILINTA;XARELTO;PRADAXA;ELIQUIS;CLEVIPREX
$322646.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932346566 >MATTHEW MCCOYD </A>	Neurology	<span style=color:black>935 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			AUBAGIO;GILENYA;COPAXONE;REBIF;BETASERON
$293240.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1689630592 >ANDRES GELRUD </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			CREON;SYNTHROID;HUMIRA;ANDROGEL;VIEKIRA
